,best_metric,best_subdir
_bertlarge_mimiciii_ct_procedure,35.61%,/bmrNAS/people/jmz/models/rales/lp/procedure/_bertlarge_mimiciii_ct_procedure/run-9/checkpoint-5448
_electrabase_mimiciii_ct_procedure,39.03%,/bmrNAS/people/jmz/models/rales/lp/procedure/_electrabase_mimiciii_ct_procedure/run-3/checkpoint-10896
_biolinkbertlarge_mimiciii_ct_procedure,38.34%,/bmrNAS/people/jmz/models/rales/lp/procedure/_biolinkbertlarge_mimiciii_ct_procedure/run-1/checkpoint-5448
_robertalarge_mimiciii_ct_procedure,37.49%,/bmrNAS/people/jmz/models/rales/lp/procedure/_robertalarge_mimiciii_ct_procedure/run-4/checkpoint-10896
_debertav3large_mimiciii_ct_procedure,35.60%,/bmrNAS/people/jmz/models/rales/lp/procedure/_debertav3large_mimiciii_ct_procedure/run-7/checkpoint-1816
_gatortron_mimiciii_ct_procedure,49.29%,/bmrNAS/people/jmz/models/rales/lp/procedure/_gatortron_mimiciii_ct_procedure/run-3/checkpoint-7264
_debertav3base_mimiciii_ct_procedure,35.61%,/bmrNAS/people/jmz/models/rales/lp/procedure/_debertav3base_mimiciii_ct_procedure/run-8/checkpoint-7264
_bertbase_mimiciii_ct_procedure,35.71%,/bmrNAS/people/jmz/models/rales/lp/procedure/_bertbase_mimiciii_ct_procedure/run-4/checkpoint-9080
_electrasmall_mimiciii_ct_procedure,35.83%,/bmrNAS/people/jmz/models/rales/lp/procedure/_electrasmall_mimiciii_ct_procedure/run-0/checkpoint-3632
_electralarge_mimiciii_ct_procedure,38.11%,/bmrNAS/people/jmz/models/rales/lp/procedure/_electralarge_mimiciii_ct_procedure/run-5/checkpoint-9080
_pubmedbert_mimiciii_ct_procedure,41.85%,/bmrNAS/people/jmz/models/rales/lp/procedure/_pubmedbert_mimiciii_ct_procedure/run-9/checkpoint-10896
_radbert2_mimiciii_ct_procedure,50.41%,/bmrNAS/people/jmz/models/rales/lp/procedure/_radbert2_mimiciii_ct_procedure/run-3/checkpoint-9080
_radbert1_mimiciii_ct_procedure,50.95%,/bmrNAS/people/jmz/models/rales/lp/procedure/_radbert1_mimiciii_ct_procedure/run-2/checkpoint-5448
_robertabase_mimiciii_ct_procedure,35.60%,/bmrNAS/people/jmz/models/rales/lp/procedure/_robertabase_mimiciii_ct_procedure/run-2/checkpoint-7264
_biolinkbertbase_mimiciii_ct_procedure,35.61%,/bmrNAS/people/jmz/models/rales/lp/procedure/_biolinkbertbase_mimiciii_ct_procedure/run-7/checkpoint-1816
_bioclinicalbert_mimiciii_ct_procedure,35.61%,/bmrNAS/people/jmz/models/rales/lp/procedure/_bioclinicalbert_mimiciii_ct_procedure/run-3/checkpoint-5448
