,best_metric,best_subdir
bertbase,89.64%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_bertbase_lp_1
bertlarge,89.49%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_bertlarge_lp_0
debertav3base,88.68%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_debertav3base_lp_0
electrabase,90.20%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_electrabase_lp_0
gatortron,92.61%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_gatortron_lp_1
pubmedbert,91.74%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_pubmedbert_lp_0
radbert1,89.68%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_radbert1_lp_0
radbert2,89.57%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_radbert2_lp_0
robertabase,87.68%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_robertabase_lp_0
robertalarge,89.19%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_robertalarge_lp_0
bioclinicalbert,90.58%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_bioclinicalbert_lp_0
biolinkbertbase,91.01%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_biolinkbertbase_lp_0
debertav3large,88.86%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_debertav3large_lp_0
electralarge,88.52%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_electralarge_lp_0
electrasmall,86.27%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_electrasmall_lp_0
biolinkbertlarge,89.72%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph_biolinkbertlarge_lp_1
