,best_metric,best_subdir
bertlarge,75.00%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_bertlarge_0
bioclinicalbert,77.78%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_bioclinicalbert_0
biolinkbertlarge,82.67%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_biolinkbertlarge_1
debertav3large,83.95%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_debertav3large_1
electrabase,79.52%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_electrabase_0
electralarge,76.51%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_electralarge_2
gatortron,84.85%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_gatortron_0
radbert1,80.00%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_radbert1_2
robertalarge,74.39%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_robertalarge_0
biolinkbertbase,85.53%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_biolinkbertbase_0
pubmedbert,81.82%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_pubmedbert_0
bertbase,78.48%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_bertbase_0
debertav3base,81.25%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_debertav3base_1
electrasmall,77.63%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_electrasmall_2
radbert2,84.42%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_radbert2_0
robertabase,78.71%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl10pct_robertabase_0
