,best_metric,best_subdir
bertlarge,78.91%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_bertlarge_lp_0
bioclinicalbert,87.94%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_bioclinicalbert_lp_0
biolinkbertlarge,82.65%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_biolinkbertlarge_lp_0
debertav3base,84.97%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_debertav3base_lp_0
debertav3large,86.89%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_debertav3large_lp_0
electrasmall,85.68%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_electrasmall_lp_0
gatortron,88.80%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_gatortron_lp_0
robertalarge,82.29%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_robertalarge_lp_0
electrabase,86.75%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_electrabase_lp_0
electralarge,86.43%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_electralarge_lp_0
pubmedbert,87.02%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_pubmedbert_lp_0
radbert2,86.38%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_radbert2_lp_0
robertabase,81.63%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_robertabase_lp_0
bertbase,87.51%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_bertbase_lp_0
biolinkbertbase,88.74%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_biolinkbertbase_lp_0
radbert1,85.31%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl_radbert1_lp_1
