,best_metric,best_subdir
electralarge_stanza_ner_10pct,10.20%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/electralarge_stanza_ner_10pct/run-0/checkpoint-8
electrabase_procedure_stanza_ner_10pct,9.73%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/electrabase_procedure_stanza_ner_10pct/run-0/checkpoint-24
bioclinicalbert_stanza_ner_10pct,4.14%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/bioclinicalbert_stanza_ner_10pct/run-1/checkpoint-45
robertalarge_stanza_ner_10pct,2.59%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/robertalarge_stanza_ner_10pct/run-0/checkpoint-15
debertav3base_stanza_ner_10pct,6.90%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/debertav3base_stanza_ner_10pct/run-1/checkpoint-75
radbert2_stanza_ner_10pct,1.89%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/radbert2_stanza_ner_10pct/run-4/checkpoint-60
deberta-v3-large_stanza_ner_10pct,10.58%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/deberta-v3-large_stanza_ner_10pct/run-1/checkpoint-8
bertlarge_stanza_ner_10pct,12.90%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/bertlarge_stanza_ner_10pct/run-1/checkpoint-60
bertbase_stanza_ner_10pct,5.05%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/bertbase_stanza_ner_10pct/run-5/checkpoint-75
electrasmall_stanza_ner_10pct,5.68%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/electrasmall_stanza_ner_10pct/run-0/checkpoint-45
robertabase_stanza_ner_10pct,7.84%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/robertabase_stanza_ner_10pct/run-4/checkpoint-60
radbert1_stanza_stanza_ner_10pct,10.53%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/radbert1_stanza_stanza_ner_10pct/run-1/checkpoint-8
gatortron_stanza_ner_10pct,4.40%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/gatortron_stanza_ner_10pct/run-6/checkpoint-45
biolinkbertlarge_stanza_stanza_ner_10pct,10.93%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/biolinkbertlarge_stanza_stanza_ner_10pct/run-4/checkpoint-24
pubmedbert_base_stanza_ner_10pct,5.22%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/pubmedbert_base_stanza_ner_10pct/run-5/checkpoint-75
biolinkbertbase_stanza_ner_10pct,7.14%,/PATH_TO//jmz_code/radiology_nlp/rales/results/ner/biolinkbertbase_stanza_ner_10pct/run-4/checkpoint-45
