,best_metric,best_subdir
radbert1_stanza_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/radbert1_stanza_stanza_ner_1pct/run-9/checkpoint-1
radbert2_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/radbert2_stanza_ner_1pct/run-9/checkpoint-2
electrasmall_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/electrasmall_stanza_ner_1pct/run-9/checkpoint-1
bioclinicalbert_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/bioclinicalbert_stanza_ner_1pct/run-9/checkpoint-1
biolinkbertbase_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/biolinkbertbase_stanza_ner_1pct/run-9/checkpoint-2
biolinkbertlarge_stanza_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/biolinkbertlarge_stanza_stanza_ner_1pct/run-9/checkpoint-2
debertav3base_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/debertav3base_stanza_ner_1pct/run-9/checkpoint-1
robertabase_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/robertabase_stanza_ner_1pct/run-9/checkpoint-2
robertalarge_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/robertalarge_stanza_ner_1pct/run-9/checkpoint-1
pubmedbert_base_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/pubmedbert_base_stanza_ner_1pct/run-9/checkpoint-1
electralarge_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/electralarge_stanza_ner_1pct/run-9/checkpoint-2
electrabase_procedure_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/electrabase_procedure_stanza_ner_1pct/run-9/checkpoint-1
bertlarge_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/bertlarge_stanza_ner_1pct/run-9/checkpoint-1
bertbase_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/bertbase_stanza_ner_1pct/run-9/checkpoint-2
deberta-v3-large_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/deberta-v3-large_stanza_ner_1pct/run-9/checkpoint-2
gatortron_stanza_ner_1pct,0.00%,/dataNAS/people/jmz/jmz_code/radiology_nlp/rales/results/ner/gatortron_stanza_ner_1pct/run-9/checkpoint-1
