,best_metric,best_subdir
biolinkbertbase_stanza_ner,9.57%,/bmrNAS/people/jmz/models/rales/lp/stanza/biolinkbertbase_stanza_ner/run-4/checkpoint-154
pubmedbert_stanza_ner,20.33%,/bmrNAS/people/jmz/models/rales/lp/stanza/pubmedbert_stanza_ner/run-1/checkpoint-154
electrabase_stanza_ner,33.75%,/bmrNAS/people/jmz/models/rales/lp/stanza/electrabase_stanza_ner/run-6/checkpoint-616
radbert1_stanza_ner,16.52%,/bmrNAS/people/jmz/models/rales/lp/stanza/radbert1_stanza_ner/run-5/checkpoint-616
robertalarge_stanza_ner,19.82%,/bmrNAS/people/jmz/models/rales/lp/stanza/robertalarge_stanza_ner/run-9/checkpoint-616
gatortron_stanza_ner,43.60%,/bmrNAS/people/jmz/models/rales/lp/stanza/gatortron_stanza_ner/run-4/checkpoint-616
radbert2_stanza_ner,18.65%,/bmrNAS/people/jmz/models/rales/lp/stanza/radbert2_stanza_ner/run-8/checkpoint-154
bertbase_stanza_ner,37.72%,/bmrNAS/people/jmz/models/rales/lp/stanza/bertbase_stanza_ner/run-3/checkpoint-770
debertav3large_stanza_ner,19.36%,/bmrNAS/people/jmz/models/rales/lp/stanza/debertav3large_stanza_ner/run-1/checkpoint-616
bertlarge_stanza_ner,13.47%,/bmrNAS/people/jmz/models/rales/lp/stanza/bertlarge_stanza_ner/run-4/checkpoint-385
electrasmall_stanza_ner,11.50%,/bmrNAS/people/jmz/models/rales/lp/stanza/electrasmall_stanza_ner/run-4/checkpoint-462
biolinkbertlarge_stanza_ner,43.78%,/bmrNAS/people/jmz/models/rales/lp/stanza/biolinkbertlarge_stanza_ner/run-5/checkpoint-616
debertav3base_stanza_ner,22.55%,/bmrNAS/people/jmz/models/rales/lp/stanza/debertav3base_stanza_ner/run-3/checkpoint-385
electralarge_stanza_ner,31.74%,/bmrNAS/people/jmz/models/rales/lp/stanza/electralarge_stanza_ner/run-0/checkpoint-616
robertabase_stanza_ner,10.24%,/bmrNAS/people/jmz/models/rales/lp/stanza/robertabase_stanza_ner/run-5/checkpoint-77
bioclinicalbert_stanza_ner,32.74%,/bmrNAS/people/jmz/models/rales/lp/stanza/bioclinicalbert_stanza_ner/run-2/checkpoint-616
